Property_ID,City,State,Price,Size_in_Sqft,Owner_Verified,Legal_Issues,Fraud_Type,Property_Status,Listing_Age_Days,Transaction_Type,Seller_Type,Previous_Ownerships,Building_Age,Amenities_Available,Government_Approval_Status,Disputed_Ownership_Claims,Property_Tax_Paid_Status,Mortgage_Status,Listed_vs_Market_Price_Difference(%),Number_of_Complaints_Filed,Agent_Rating,Fraud_Probability_Score
PROP70101,Delhi,Maharashtra,4135417,863,Yes,Yes,Fake Documents,For Rent,460,Loan,Real Estate Agency,4,49,Yes,Rejected,Yes,Paid,Mortgaged,11.14975262680295,6,4.1,0.46
PROP70102,Delhi,Maharashtra,59254845,7549,No,No,Title Fraud,Sold,2429,Loan,Broker,5,52,No,Rejected,No,Not Paid,No Loan,-5.6086363725265205,0,2.0,0.42
PROP70103,Pune,Maharashtra,27759627,1290,No,No,Fake Documents,Verified,1341,Installments,Individual,0,87,Yes,Rejected,Yes,Paid,Mortgaged,36.35941525980534,8,1.1,0.08
PROP70104,Pune,Tamil Nadu,75945470,9036,Yes,Yes,Illegal Construction,For Sale,3508,Loan,Broker,1,80,No,Approved,Yes,Paid,Mortgaged,-2.5831799061982927,4,4.0,0.19
PROP70105,Chennai,Delhi,69761948,8131,Yes,No,Title Fraud,Under Dispute,2649,Loan,Individual,4,42,No,Approved,Yes,Not Paid,Mortgaged,7.796967785943284,7,1.4,0.23
PROP70106,Kolkata,Telangana,89299446,4399,No,Yes,Title Fraud,Verified,2541,Loan,Broker,0,89,Yes,Rejected,No,Not Paid,Loan Cleared,-5.586331798274919,7,1.8,0.36
PROP70107,Delhi,Gujarat,86327189,3678,Yes,Yes,Title Fraud,Verified,3513,Installments,Broker,0,74,No,Approved,No,Paid,No Loan,40.8141445727727,5,1.9,0.27
PROP70108,Bangalore,Telangana,82633138,7451,No,Yes,Fake Documents,Sold,1054,Cash,Individual,4,10,No,Pending,No,Paid,Loan Cleared,31.711672051025175,5,3.2,0.06
PROP70109,Ahmedabad,Gujarat,28137216,3412,Yes,Yes,Overpricing,Verified,41,Installments,Individual,2,68,Yes,Approved,Yes,Pending,No Loan,10.886345128445019,10,2.5,0.89
PROP70110,Hyderabad,Telangana,68328524,8075,Yes,Yes,Fake Documents,For Sale,644,Loan,Broker,3,19,Yes,Approved,Yes,Not Paid,Loan Cleared,-8.944737971854638,9,1.1,0.57
PROP70111,Bangalore,Gujarat,53622389,6374,Yes,No,Duplicate Listing,Verified,3149,Cash,Broker,2,30,Yes,Pending,Yes,Not Paid,No Loan,-16.68555505305018,2,1.3,0.37
PROP70112,Chennai,Gujarat,58820144,2177,Yes,No,Legitimate,Verified,991,Cash,Broker,0,68,No,Pending,No,Paid,Mortgaged,34.269967089357195,8,2.8,0.33
PROP70113,Kolkata,Delhi,69662414,5585,No,Yes,Title Fraud,Verified,1646,Installments,Real Estate Agency,0,77,No,Pending,No,Pending,Loan Cleared,0.4696546612831334,1,4.2,0.72
PROP70114,Delhi,West Bengal,4990068,7408,No,No,Legitimate,Sold,2654,Installments,Individual,0,58,No,Rejected,No,Not Paid,Loan Cleared,-8.19558402953047,6,1.3,0.49
PROP70115,Kolkata,Telangana,59221406,5726,No,Yes,Overpricing,Sold,3045,Cash,Real Estate Agency,0,83,No,Approved,No,Paid,Loan Cleared,-13.212933585533872,6,5.0,0.51
PROP70116,Hyderabad,Maharashtra,86882340,6470,Yes,No,Illegal Construction,For Sale,1914,Installments,Broker,4,18,Yes,Approved,No,Paid,Mortgaged,48.33973647955476,6,3.8,0.57
PROP70117,Bangalore,Maharashtra,82284230,2661,No,Yes,Illegal Construction,Under Dispute,3572,Cash,Individual,2,92,No,Rejected,Yes,Not Paid,Mortgaged,14.194284595586957,6,4.8,0.91
PROP70118,Hyderabad,Maharashtra,58631959,8714,Yes,Yes,Legitimate,Sold,302,Cash,Real Estate Agency,1,3,No,Pending,Yes,Pending,Mortgaged,12.717326708786125,5,5.0,0.11
PROP70119,Delhi,West Bengal,63071883,9620,Yes,Yes,Legitimate,For Rent,3002,Loan,Broker,1,81,No,Pending,Yes,Paid,No Loan,3.7869727432782128,6,4.7,0.93
PROP70120,Chennai,Maharashtra,63048782,9410,No,No,Duplicate Listing,For Sale,194,Loan,Individual,0,4,Yes,Rejected,Yes,Paid,Loan Cleared,-14.397759969455729,5,1.9,0.31
PROP70121,Mumbai,Telangana,19946216,5193,Yes,Yes,Fake Documents,Verified,3302,Installments,Individual,1,73,No,Rejected,No,Not Paid,Loan Cleared,7.2422077830384985,7,2.3,0.16
PROP70122,Kolkata,Maharashtra,48568760,1713,No,Yes,Overpricing,For Sale,3259,Cash,Real Estate Agency,5,53,No,Approved,Yes,Paid,Mortgaged,42.411710516091304,3,3.8,0.48
PROP70123,Chennai,Delhi,64132528,3395,No,No,Illegal Construction,Sold,21,Installments,Real Estate Agency,5,84,Yes,Rejected,No,Not Paid,Mortgaged,4.192981964451533,1,4.2,0.95
PROP70124,Delhi,Maharashtra,61026124,3927,Yes,Yes,Duplicate Listing,Sold,3637,Installments,Individual,4,32,Yes,Approved,No,Paid,No Loan,0.34062035177020533,7,1.1,0.08
PROP70125,Pune,Delhi,19571735,711,No,Yes,Legitimate,Verified,2074,Cash,Individual,1,20,No,Rejected,No,Pending,Loan Cleared,-6.469564418213125,2,5.0,0.48
PROP70126,Bangalore,Maharashtra,12271236,6294,Yes,No,Legitimate,For Rent,708,Installments,Real Estate Agency,1,91,Yes,Rejected,Yes,Not Paid,Mortgaged,-4.675467601001271,3,2.8,0.81
PROP70127,Kolkata,Gujarat,15396613,5297,No,Yes,Legitimate,Verified,2624,Loan,Individual,4,22,Yes,Rejected,Yes,Paid,Mortgaged,14.64719418527335,6,1.2,0.4
PROP70128,Chennai,Maharashtra,79513535,8974,Yes,Yes,Legitimate,Sold,1177,Loan,Real Estate Agency,1,50,Yes,Rejected,No,Paid,Loan Cleared,20.38930724158991,5,3.5,0.17
PROP70129,Chennai,Gujarat,25470587,8075,Yes,Yes,Legitimate,For Sale,3402,Installments,Real Estate Agency,0,18,Yes,Approved,Yes,Paid,Mortgaged,-12.59559288529513,4,2.4,0.13
PROP70130,Bangalore,Maharashtra,34111776,2447,Yes,Yes,Duplicate Listing,Verified,3175,Cash,Broker,3,25,No,Approved,No,Pending,No Loan,25.947570297695286,4,2.7,0.39
PROP70131,Bangalore,Telangana,5781515,7595,Yes,No,Duplicate Listing,For Sale,589,Installments,Broker,4,89,No,Pending,Yes,Paid,Loan Cleared,11.233697053563759,1,2.4,0.1
PROP70132,Bangalore,West Bengal,37063899,2018,No,No,Fake Documents,Verified,1579,Installments,Individual,2,36,Yes,Rejected,Yes,Paid,No Loan,-12.208833275247851,4,3.3,0.04
PROP70133,Mumbai,Tamil Nadu,41743057,5530,No,No,Illegal Construction,Under Dispute,1202,Cash,Broker,5,52,Yes,Rejected,No,Not Paid,Mortgaged,7.773462437678713,9,3.0,0.17
PROP70134,Mumbai,Delhi,5564345,6823,Yes,No,Illegal Construction,Under Dispute,3525,Installments,Real Estate Agency,4,7,Yes,Rejected,No,Pending,Mortgaged,15.521667490912108,6,1.1,0.33
PROP70135,Ahmedabad,West Bengal,74495129,9882,No,No,Illegal Construction,Sold,192,Loan,Individual,0,62,No,Approved,Yes,Pending,No Loan,18.260040803818924,10,1.7,0.51
